Topo id, Rack count, Servers per rack, Effective load, Sheduler,Servers energy,Total energy,Task count
0,1,64,8.8,Green,21.6,179.0,4906
0,1,64,8.8,BestDENS,21.6,179.0,4906
0,1,64,8.9,HEROS,22.8,180.2,4906
0,1,64,8.8,RoundRobin,51.6,209.0,4906
0,1,64,8.8,Random,51.5,208.9,4906
0,1,64,17.6,Green,42.2,199.6,9812
0,1,64,17.6,BestDENS,42.2,199.6,9812
0,1,64,17.8,HEROS,44.5,201.9,9812
0,1,64,17.5,RoundRobin,103.3,260.7,9812
0,1,64,17.5,Random,102.6,260.0,9812
0,1,64,26.4,Green,62.7,220.1,14718
0,1,64,26.5,BestDENS,62.9,220.3,14718
0,1,64,26.7,HEROS,65.7,223.1,14718
0,1,64,26.4,RoundRobin,142.0,299.4,14718
0,1,64,26.4,Random,137.7,295.1,14718
0,1,64,35.2,Green,83.6,241.0,19625
0,1,64,35.3,BestDENS,83.8,241.2,19625
0,1,64,35.7,HEROS,87.3,244.7,19625
0,1,64,35.3,RoundRobin,152.9,310.3,19625
0,1,64,35.4,Random,151.4,308.8,19625
0,1,64,44.0,Green,104.2,261.6,24531
0,1,64,44.2,BestDENS,104.9,262.3,24531
0,1,64,44.7,HEROS,108.9,266.3,24531
0,1,64,44.1,RoundRobin,163.0,320.4,24531
0,1,64,44.3,Random,163.1,320.5,24531
0,1,64,52.8,Green,127.0,284.4,29437
0,1,64,52.9,BestDENS,127.4,284.8,29437
0,1,64,53.7,HEROS,132.3,289.7,29437
0,1,64,52.9,RoundRobin,177.8,335.2,29437
0,1,64,53.2,Random,176.4,333.8,29437
0,1,64,61.6,Green,149.9,307.3,34343
0,1,64,61.8,BestDENS,150.2,307.6,34343
0,1,64,62.7,HEROS,157.1,314.5,34343
0,1,64,61.8,RoundRobin,189.3,346.7,34343
0,1,64,62.2,Random,189.6,347.0,34343
0,1,64,70.4,Green,171.3,328.7,39250
0,1,64,70.5,BestDENS,171.4,328.8,39250
0,1,64,71.7,HEROS,179.3,336.7,39250
0,1,64,70.6,RoundRobin,199.8,357.2,39250
0,1,64,71.0,Random,200.0,357.4,39250
0,1,64,79.2,Green,192.9,350.3,44156
0,1,64,79.4,BestDENS,193.0,350.4,44156
0,1,64,80.6,HEROS,201.4,358.8,44156
0,1,64,79.4,RoundRobin,210.0,367.4,44156
0,1,64,79.3,Random,209.7,367.1,44156
