Server count,User count,Servers energy,Total energy
1,1,2.200000,159.100000
5,1,5.800000,162.700000
9,1,9.500000,166.400000
13,1,13.100000,170.100000
17,1,16.700000,173.700000
21,1,20.900000,177.900000
25,1,25.200000,182.300000
29,1,29.100000,186.200000
33,1,32.700000,189.800000
37,1,36.300000,193.400000
41,1,40.200000,197.400000
45,1,44.300000,201.500000
49,1,48.100000,205.300000
1,5,3.500000,160.400000
5,5,17.100000,174.000000
9,5,30.700000,187.600000
13,5,44.300000,201.300000
17,5,57.800000,214.800000
21,5,71.200000,228.200000
25,5,84.900000,242.000000
29,5,98.500000,255.600000
33,5,112.700000,269.800000
37,5,127.800000,284.900000
41,5,142.400000,299.600000
45,5,156.500000,313.700000
49,5,170.100000,327.300000
1,9,3.500000,160.400000
5,9,17.500000,174.400000
9,9,31.500000,188.400000
13,9,45.400000,202.400000
17,9,59.500000,216.500000
21,9,73.700000,230.700000
25,9,88.100000,245.200000
29,9,102.400000,259.500000
33,9,116.700000,273.800000
37,9,131.200000,288.300000
41,9,145.400000,302.600000
45,9,159.600000,316.800000
49,9,173.700000,330.900000
